2022-02-15T12:14:56.145Z - [ERROR  ] - 1
2022-02-15T12:16:42.987Z - [INFO   ] - completed axios post method
2022-02-15T12:16:42.989Z - [INFO   ] - category is set
2022-02-15T12:16:42.990Z - [INFO   ] - invoking axios post method
2022-02-15T12:16:42.995Z - [INFO   ] - category is set
2022-02-15T12:16:42.995Z - [INFO   ] - invoking axios post method
2022-02-15T12:17:27.808Z - [INFO   ] - completed axios post method
2022-02-15T12:17:27.809Z - [INFO   ] - category is set
2022-02-15T12:17:27.810Z - [INFO   ] - category is set
2022-02-15T12:17:27.810Z - [INFO   ] - invoking axios post method
2022-02-15T12:17:27.815Z - [INFO   ] - invoking axios post method
2022-02-15T12:18:45.499Z - [INFO   ] - completed axios post method
2022-02-15T12:18:45.501Z - [INFO   ] - category is set
2022-02-15T12:18:45.502Z - [INFO   ] - category is set
2022-02-15T12:18:45.502Z - [INFO   ] - invoking axios post method
2022-02-15T12:18:45.507Z - [INFO   ] - invoking axios post method
2022-02-16T09:00:19.438Z - [INFO   ] - completed axios post method
2022-02-16T09:00:19.445Z - [INFO   ] - category is set
2022-02-16T09:00:19.446Z - [INFO   ] - category is set
2022-02-16T09:00:19.447Z - [INFO   ] - invoking axios post method
2022-02-16T09:00:19.459Z - [INFO   ] - invoking axios post method
2022-02-16T09:06:33.196Z - [INFO   ] - completed axios post method
2022-02-16T09:06:33.197Z - [INFO   ] - category is set
2022-02-16T09:06:33.198Z - [INFO   ] - category is set
2022-02-16T09:06:33.199Z - [INFO   ] - invoking axios post method
2022-02-16T09:06:33.203Z - [INFO   ] - invoking axios post method
2022-02-16T09:21:50.886Z - [INFO   ] - completed axios post method
2022-02-16T09:21:50.894Z - [INFO   ] - category is set
2022-02-16T09:21:50.895Z - [INFO   ] - category is set
2022-02-16T09:21:50.896Z - [INFO   ] - invoking axios post method
2022-02-16T09:21:50.911Z - [INFO   ] - invoking axios post method
